location,cause,year,val
Luxembourg,Mesothelioma,1990,4.637902722
Monaco,Chronic respiratory diseases,1990,15.29210928
Serbia,Cardiovascular diseases,1991,52972.21536
Ukraine,Cardiovascular diseases,1993,415324.6151
Ukraine,Chronic respiratory diseases,1993,36707.58917
Andorra,Cardiovascular diseases,1991,69.01318961
Finland,Respiratory infections and tuberculosis,1992,2865.235307
Croatia,Mesothelioma,1990,18.50538837
Poland,Mesothelioma,1991,74.8187145
Poland,Leukemia,1991,2585.824575
Poland,Cardiovascular diseases,1991,203918.8479
Bulgaria,Leukemia,1991,472.8887389
Bulgaria,Cardiovascular diseases,1991,70746.40147
Czechia,Respiratory infections and tuberculosis,1992,2489.619209
Serbia,Chronic respiratory diseases,1991,3361.225055
Ireland,Mesothelioma,1991,33.92598928
Ireland,Leukemia,1991,240.2965544
Ireland,Cardiovascular diseases,1991,13723.88111
Slovenia,Respiratory infections and tuberculosis,1990,576.2455742
North Macedonia,Mesothelioma,1992,1.595303573
Romania,Chronic respiratory diseases,1991,13568.70195
Czechia,Mesothelioma,1993,37.72838683
Czechia,Leukemia,1993,863.9987777
Czechia,Cardiovascular diseases,1993,63564.25483
Netherlands,Cardiovascular diseases,1990,51094.44293
Switzerland,Mesothelioma,1993,108.2741698
Switzerland,Leukemia,1993,572.4229723
Switzerland,Cardiovascular diseases,1993,25519.76573
Belgium,Respiratory infections and tuberculosis,1990,3625.431985
Iceland,Respiratory infections and tuberculosis,1991,105.3678425
Cyprus,Mesothelioma,1993,8.940853535
Cyprus,Leukemia,1993,48.58922544
Cyprus,Cardiovascular diseases,1993,2806.990043
Andorra,Chronic respiratory diseases,1991,16.58801243
Estonia,Leukemia,1990,136.4347629
Ukraine,Respiratory infections and tuberculosis,1993,10563.094
Luxembourg,Respiratory infections and tuberculosis,1990,93.10843572
Switzerland,Respiratory infections and tuberculosis,1993,2601.719537
Czechia,Respiratory infections and tuberculosis,1993,2444.132705
Bos&Herz,Chronic respiratory diseases,1992,1265.007845
Cyprus,Chronic respiratory diseases,1993,373.2252596
UK,Leukemia,1993,4810.978477
France,Chronic respiratory diseases,1992,21784.35892
Romania,Respiratory infections and tuberculosis,1991,10020.55485
Albania,Chronic respiratory diseases,1993,922.3518755
France,Respiratory infections and tuberculosis,1993,21727.28891
Croatia,Leukemia,1990,349.8733927
Croatia,Cardiovascular diseases,1990,26917.2927
Switzerland,Chronic respiratory diseases,1993,2576.595662
San Marino,Respiratory infections and tuberculosis,1992,4.206799088
Belarus,Cardiovascular diseases,1990,59681.54787
Denmark,Mesothelioma,1993,75.77860026
Belarus,Chronic respiratory diseases,1990,6648.077557
Hungary,Respiratory infections and tuberculosis,1992,1913.916283
Denmark,Leukemia,1993,583.0376234
Hungary,Mesothelioma,1993,33.19007058
Hungary,Leukemia,1993,956.2042149
Hungary,Cardiovascular diseases,1993,73184.64654
Netherlands,Respiratory infections and tuberculosis,1990,4187.61504
North Macedonia,Leukemia,1992,93.51394969
North Macedonia,Cardiovascular diseases,1992,9939.289538
Denmark,Respiratory infections and tuberculosis,1993,2118.08468
Estonia,Leukemia,1994,143.4413233
Estonia,Cardiovascular diseases,1994,12227.32928
Estonia,Cardiovascular diseases,1990,11068.41454
Italy,Chronic respiratory diseases,1995,24420.6617
Monaco,Mesothelioma,1993,0.710537413
Monaco,Leukemia,1993,6.009360799
