Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
POL,58.22726264738459,59.03216717927884,59.92575844730271,60.580666822698355,61.47022064179214,62.060761720274485,63.106416289339556,64.17684004416499,65.0955883098463,65.95927304966145,67.12522683256503,68.5104204662446,69.686915033894,70.89826787579123,72.23907295093146,73.47799253388503,74.34097471501931,75.16859572142805,76.0449464871262,76.83347207889874,78.13637432096948,78.83502432196778,79.72870456357064,80.6689005350016,82.23895414852592,83.52738652134796,84.98484985334632,85.77483286145231,85.9993393181357,85.9943205425912
MKD,75.45954899594494,76.22750074584803,76.88586483069766,77.83244594952436,78.57885874285724,79.13115696562312,79.88480309312597,80.64368742408259,81.46499316121415,82.25612558190433,83.16533332347268,83.96955079492531,84.84601336714854,85.81456927310919,86.98066980873627,87.75201289078957,88.34897708261731,88.87207001233611,89.52598657673879,90.2074078542198,90.72273868920041,91.19698426476697,91.1917459331621,91.52970290152894,91.7658620467098,92.08859198665134,92.20301586788838,92.6174028974506,92.52888747092068,92.64658304465692
NLD,54.53458047291367,55.23852585050732,56.17792067615201,57.05910278099904,57.84011710183308,58.66158470832254,59.44249654585878,60.05977869924081,60.58383026289667,61.33704031072567,62.266871851344455,63.05939781880691,63.60173407455552,64.03920594823244,65.05004261521205,65.7481245546479,66.41635109892322,67.12559730027773,67.7623297563019,68.3848215490485,69.09205623773352,69.42572537251186,69.9664611245755,70.80331876038373,71.55507795968343,71.77811802357763,72.95150217549997,73.62506231418233,74.01876543973127,74.35502751407431
MNE,4.849487327754778,4.852087327754779,4.854687327754778,4.857287327754778,4.8598873277547785,4.862487327754778,4.866687327754779,4.870887327754778,4.875087327754779,4.879287327754778,4.883487327754779,4.883287327754779,4.883087327754778,4.882887327754778,5.058814993597411,5.037101840341394,5.092101933335096,5.168687217334874,5.155024607195988,5.227273439238937,5.352824630947262,5.8282732628639575,6.670180072996612,7.445077245045652,8.274441049397403,8.93713893545735,9.049780459264788,9.077008952693157,9.12655101106725,9.18808254913891
MCO,42.08569151579256,41.43946001709871,41.718619582665546,40.70245820944648,40.709036319810565,41.39528719233895,43.00236328246402,44.69725769210002,45.561463266099004,46.652449526585706,47.26029184543265,47.083782837227005,47.57787792229009,47.97237651924533,48.566948029998,48.12879908407053,48.02818146322353,48.08384877926106,49.19334022715718,50.67391131744423,50.958148111682526,51.705401533505935,52.636205899455646,53.368769872456596,54.94550936170503,55.762796919378545,57.27835062210728,59.644148944950096,59.754522090034655,60.197898494483596
MDA,60.934123855914464,61.572985002006796,62.33115078760484,62.960443787797594,63.7345948818603,64.48893408752305,65.17298931903963,66.13994456815504,66.92143036748536,67.9056684090112,68.60469940807907,69.5775398602297,70.02955966591885,70.6583343066408,71.35987660493718,72.07475231394025,72.81262744590713,73.68244574877914,74.39483300075018,74.69443940399925,75.16494461823262,76.59238562284935,78.49131169735688,80.44217160657769,82.44998494771794,84.27261536220351,85.29297083263825,85.74315178493536,85.78381519749459,85.74212991355087
MLT,38.44900733281764,38.34230199661881,38.06116807934372,36.66031844266255,35.89375755731322,37.016847193126935,39.255275959418476,40.44489990132554,40.427997746381486,41.70973828563857,42.31976111911103,41.97690500936258,42.526368300330695,43.29635253174356,44.082442713104676,43.93970889646299,43.6221955026043,44.34563222728386,45.86049421091368,46.8445528508721,47.22859564409269,48.09533166313533,48.989422633999226,49.46934222106708,50.796242926869105,52.00407389325352,53.79718793579032,55.076330782307664,55.09301466259049,55.37306726452779
LUX,76.8485584333353,77.7860691258319,78.60810515002059,79.18893064472972,79.40719020864266,79.57925027982084,79.00452649968017,77.66114802227116,76.47570561703849,75.8250634016564,75.90001368969263,76.30380843898136,76.55951931604383,76.87292793828837,77.33705099319766,77.57669285328893,77.8062682953105,77.93120721416079,78.18217003378703,78.56330670600346,78.28517838858596,78.65091424330065,78.97435668041942,79.32379365688027,79.42432611045217,80.35136418178877,81.39066563758104,81.89252819924452,82.27754346650859,82.33917900059714
LTU,27.54316645670786,26.96215991521049,27.49802236087476,26.981918999727682,25.372513924477335,24.987593407164,25.898336960915326,27.239321934529162,28.218196246126467,28.340281394927406,28.629712611285118,29.086981197272475,29.16273753944576,29.378105094923132,30.108740911532912,30.201139089818742,31.176790153772,31.93287445030964,32.597105190026205,33.23731322734364,33.50072784327256,35.52164414458896,36.252515383457094,37.46566017964634,37.69360079834713,38.00440119956684,39.720812271139636,41.724463467060296,42.11303649263812,42.43382918718366
LIE,19.14038874804045,19.331751756908687,19.119250007289423,19.39666405526373,19.630234451752656,20.130949878445286,20.990050662934145,21.767161198030372,22.31008271171841,22.933587082383287,23.50931327795947,24.066440633350535,24.42070241882342,24.76731947114648,25.592954206818735,26.07179538005194,26.54949794576057,26.829426831195796,27.735891177800177,28.221303702008974,29.041271250159554,29.959642695213432,30.683426980304418,32.16231926370141,33.04201713861529,33.89365646042249,34.26372426420261,34.71116810916232,35.36565780460875,35.91269254803692
LVA,52.13085025805812,52.85350886472085,53.54967015322558,54.45150633629695,55.4648696846453,56.155789573742325,56.74082755614508,57.45732204856181,58.58375287891654,59.380105429719286,60.366729205298306,61.19685025761701,61.93548696302243,62.63403063646236,63.619371793026964,64.45883365509611,65.07419896979506,65.38044751586139,65.75601593199951,66.24937114810254,66.70938963295531,67.12590233417421,67.94989152460597,69.14962536829907,70.28450796605753,71.44921903580115,72.34763013693258,73.21148310154801,73.50561555490698,73.6590479620458
XKX,36.16335745557524,36.63713544204019,36.552966576349874,35.88982978711742,35.32467428005848,35.12357900162624,35.00367398783,34.77174529997556,35.00306824712968,35.34534985664157,35.676329099478885,35.896304300474256,36.08991297535076,36.282896848072625,36.775473465627186,36.98727406399533,37.47854319743858,37.913576818064655,38.561214484387826,39.104359873056055,39.70160529385224,40.020394675235565,40.344923980345555,41.02514838441475,41.39417391145437,41.58928771699427,42.21503578922289,42.504230567571625,43.08823558267015,43.57906125381274
ITA,62.030660405318045,62.75732658987158,63.61051525105345,63.86809996597403,64.58203412920976,65.09056962183413,65.68230800527087,66.5209484294486,66.99363235933365,67.49179844725866,68.01150799341764,68.79005519343852,69.25257440823191,69.97777395126246,71.35324458761471,72.36016207548175,73.38101742403074,74.27418045683751,74.96490101996159,75.52482827118611,75.93169404499571,76.58629683971229,77.29530194462484,78.15402936862776,78.94797223331574,79.57096394804499,79.8825315597926,80.19786237589243,80.34273515378703,80.67120817499021
IRL,67.37665417427125,68.36640730380205,69.2346274532596,70.03784530616522,70.94394650394527,71.70000400208522,72.54250405051934,73.33629184799416,73.927357760084,74.63417968710849,75.41970538098377,76.40022175497755,77.5832221059342,79.0200052170287,80.5995812073792,81.70660119300848,82.26481170624639,82.75898598145329,83.16293234535279,83.5673415947492,84.09886619820206,84.61291868213057,85.47147234816788,86.44050212053186,87.6863565291379,88.8552000134969,89.37954994753525,89.77013884477495,89.64710248111065,89.78835043759511
ISL,32.308600414011906,32.108045355111024,32.90662851602019,33.95248363897498,34.49348400425531,35.052704248111446,36.07325913829812,36.95088213327201,37.9581825139567,38.579462632117185,39.95525704532382,40.85542240571667,41.673811857193755,42.3572020694592,43.0096419915494,43.42186313908426,43.796220749064666,44.31170192928911,44.75404323047503,45.352464060536,46.30240292373391,47.08050511746934,47.61743622737983,48.5611839076336,49.681589484332,50.10674545340274,50.70124067939962,51.20326527107105,51.44820891632498,51.934374887739224
NOR,46.96641517302194,47.615700146538714,48.74387826295913,49.505420167788586,51.11877235266861,51.84043327867217,52.455499863302514,53.1415468470883,53.86805544152087,54.43900672425373,55.126440629786934,56.054418423577815,56.7377793225351,57.658639881440386,59.088944711484004,59.76459916173745,61.091347046759545,62.340289382269425,63.55379207918729,64.31554298314174,65.32162413689406,66.2516785674804,67.29549557097964,68.27815196432917,69.55199117788518,70.41610910647178,71.01263812844172,71.50339049388766,72.72640502370572,73.40460523174586
SRB,26.890819259671268,27.43803995173442,27.023163439178234,26.858345949349275,26.82029942567292,26.880240034909384,26.617647193792614,26.949136236975654,28.049359608552194,29.258090454147407,30.183650886689556,30.520728835904293,30.822586451462353,31.540860698374416,32.719994961717234,33.73831019735438,34.81164169598308,36.0713710318574,36.5897385474948,37.39664808891426,38.29598129120809,39.44039775360298,39.806388417860326,40.99876184975239,41.276785771068305,41.80844164967289,42.399155726054616,42.75027225846679,43.19400902566359,43.523286085766074
SVK,69.22770551989643,69.88766735747005,70.58022234953089,71.29114932995317,71.9053621462136,72.70262743570923,73.39602228334557,74.06743423127149,74.57164033393269,75.17216224147913,75.6803103675495,76.22008495685955,76.49614999312831,76.89652994375356,77.1781242826868,77.68451759223939,78.27207868143141,79.16562240288158,79.92379084445369,80.64582223345613,81.06744265120078,80.92809718751485,80.7149997339208,80.54455118323857,80.43954666630562,80.32307163814181,80.57934772049677,80.69173939244314,80.810861349954,80.87251708246954
SVN,26.342159738349416,26.910925982546736,26.694506870371622,26.33093476724503,25.974120582097243,25.7833575015093,25.626575906763463,25.29625158433965,26.602462971781257,27.23825673375362,27.45694352251924,28.067902308710565,28.449474900338785,28.67408688614981,29.311349344660496,29.65030944065846,30.33780889051612,31.016390311353238,31.53882396780955,32.24259112368199,33.27290491991322,34.00066746097462,34.864100475101324,35.60257976945414,36.23031057260558,36.70980973851672,37.70564901861535,38.06639689205041,38.54585080987038,38.85242187538292
ESP,34.99704417804723,35.590057800651195,36.368923004033014,37.32974600897323,38.42492907897175,38.865578674192626,39.952954094532444,40.394313313040016,41.05122201417334,41.98203174476323,42.99374339542231,43.615546486315566,44.046099391604244,44.400382813204764,45.32037189337029,45.47051938795254,46.17066528955711,46.68350543339534,47.5111089024198,48.29146856802505,49.44181580512883,50.42495090888694,51.80998426537408,53.33257948638482,54.68575937215179,55.43638801895354,56.50396396021813,56.99385946139827,57.36637316119071,57.704634342484
SWE,42.749526163085854,43.13231793932915,43.55454894131297,43.95389715246286,44.484940368454055,45.11762762791652,45.81728841095981,46.44846359956992,47.17543819466228,48.138915143613445,49.24189994550108,49.86071771140363,50.873811126830866,51.43198891683746,52.531078189903305,53.86348386786595,54.64974791022538,55.62145670095797,56.609640870883126,57.61680955019159,58.333500722912426,58.840550646526324,59.257741884790164,59.97663487002611,61.300341020666494,61.10717401995474,61.96177258949042,62.37404047262812,62.587335842233706,62.70745625835376
CHE,72.01326690889177,72.72500244276854,73.80235493705078,74.62909228070744,75.83862477632826,76.50681352351886,77.22104481586177,77.95322590109451,78.61356762076714,79.24979531953088,79.95419889493421,80.64781683651938,81.63269911602816,82.66070114811504,83.82914478281032,84.68451993819087,85.02346098711563,85.54461388311346,85.91011198530202,86.15042489715069,86.60358504595578,87.30974155462441,88.34986076392252,89.46416768556104,89.68610430962376,90.12683140830647,90.38278422076816,90.80084422234751,90.69293698821204,90.87566320796172
UKR,35.142110765793376,34.68888203561791,34.24283866508361,33.72254646033061,32.94188797948362,32.41894481966851,32.971915570360395,33.69675254538215,34.72832548792692,34.55116110031444,34.48085665956598,34.91870546380339,34.85398749466044,35.0786108523194,35.09781775020872,35.18787503283446,36.096910386560246,36.08884444517674,36.52366621556202,38.34714459897721,39.15564587525762,40.06351049066343,40.44624716148887,40.9715523872997,42.16917826100771,39.919955938761326,41.20520938185365,42.13304111790516,42.047804607620535,42.25718103041839
GBR,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.4030469813367707,1.5628782621414214,1.4462666273178177,1.5940741927244955,1.5581759042244903,1.6952122506324183,1.7411886802409315,1.782392510399277,1.6382249973940604,1.58262634288657,1.8956288586242682,2.0035088814595783,1.8898114227951972,2.0574032850427115,1.9487905818121105,2.0138739706976483,2.0581706247103932
